M,K,C_tot,proposed_min,single_min,coverage_min,gain_pct
20,160,7,50.63195750287197,57.355017695921994,58.66440484588166,11.72183439763465
30,240,10,50.126196724985626,57.42898871269993,57.9998201498502,12.71621205842226
40,320,13,49.00021336644212,54.544145883406614,53.67119637729227,10.164120140070006
50,400,17,48.04261090125213,54.338117885288526,54.771738229616766,11.58580243306667
60,480,20,47.56615627542449,54.47389777974629,53.50477894104997,12.680828407491223
