c,M,aoi_mean,aoi_std,rho,unstable_frac
1,1,51.0659755293894,1.776214374907202,0.29289321880759017,0.0
1,2,40.93075369660975,0.8627754966419985,0.499999999999505,0.0
1,3,42.60413596540839,0.6616547985311115,0.63397459621711,0.0
1,4,48.0385290773779,0.3924830414544526,0.7192235935937898,0.0
1,5,55.30094060919709,0.307826187902587,0.7752551286095241,0.0
1,6,63.39495667810354,0.2879543125660962,0.8138593383656436,0.0
1,7,71.99492966602881,0.25636889776197114,0.8416876048205052,0.0
1,8,80.97754401763639,0.22421144269113863,0.8625413911823243,0.0
1,9,90.11006295222163,0.22365816345493478,0.878679656440941,0.0
1,10,99.43997176894744,0.21164858882670395,0.8915047169857832,0.0
1,11,108.94236177064185,0.18838154559553308,0.9019237886468631,0.0
1,12,118.47755947837474,0.1573822516698126,0.9105458270996677,0.0
1,13,128.09667975201702,0.1646020689335261,0.9177929985153167,0.0
1,14,137.7572153334923,0.13939550703423567,0.9239663260877795,0.0
1,15,147.47082849332082,0.13494316763796785,0.9292857857280785,0.0
1,16,157.23993270039253,0.1383992717033728,0.9339156193809448,0.0
1,17,167.00322622983626,0.13683835028571387,0.9379807976820023,0.0
1,18,176.80349673405178,0.13495158189122605,0.9415780150966065,0.0
1,19,186.61136510393987,0.13218793062191528,0.9447832104278512,0.0
1,20,196.45259032951586,0.12288083685822812,0.9476568219251552,0.0
2,1,47.2041414372975,1.7762143749072015,0.16512385105290656,0.0
2,2,32.0798291113881,0.862775496641998,0.3210368162396213,0.0
2,3,27.954593454542795,0.6616547985311115,0.45912325334165704,0.0
2,4,27.31588666768676,0.3924830414544527,0.5731827445191559,0.0
2,5,28.591713194312568,0.3078261879025865,0.6616264840916067,0.0
2,6,30.911975240406072,0.28795431256609666,0.7274520456114277,0.0
2,7,33.94430719742096,0.2563688977619718,0.7757844352810462,0.0
2,8,37.51795658594965,0.2242114426911375,0.811530472560761,0.0
2,9,41.35396558020863,0.22365816345493578,0.8384524035655697,0.0
2,10,45.465228521367635,0.21164858882670257,0.8591779441258551,0.0
2,11,49.80306029192808,0.18838154559553333,0.8754863739878039,0.0
2,12,54.21182487939979,0.15738225166981257,0.8885815205221872,0.0
2,13,58.73189787533523,0.1646020689335269,0.899288561231526,0.0
2,14,63.313451328179426,0.13939550703423445,0.9081837930225467,0.0
2,15,67.96306892976395,0.13494316763796932,0.9156779665045119,0.0
2,16,72.67957411934995,0.13839927170337565,0.9220697849477679,0.0
2,17,77.399079761852,0.13683835028571323,0.9275806410914639,0.0
2,18,82.1624783152934,0.13495158189122303,0.9323775441971294,0.0
2,19,86.93897821715608,0.1321879306219137,0.9365885307897501,0.0
2,20,91.75326952135399,0.12288083685822822,0.9403132165743652,0.0
3,1,46.9424628909531,1.7762143749072008,0.1110421798802065,0.0
3,2,31.06829283218623,0.8627754966419978,0.22120806336148216,0.0
3,3,25.719234010791254,0.6616547985311113,0.32856253824105924,0.0
3,4,23.40448755982648,0.39248304145445273,0.43036454322239365,0.0
3,5,22.64330311041336,0.3078261879025866,0.5234956369890154,0.0
3,6,22.722583679743266,0.28795431256609655,0.6051356610763253,0.0
3,7,23.467915060595033,0.2563688977619711,0.6736099824440868,0.0
3,8,24.812410039642348,0.22421144269113766,0.7289153406738476,0.0
3,9,26.518841959094267,0.2236581634549359,0.7724953369317079,0.0
3,10,28.601191451748672,0.21164858882670307,0.8064946951409312,0.0
3,11,30.994766979332162,0.18838154559553277,0.8330696017520355,0.0
3,12,33.5248689288377,0.15738225166981248,0.8540367333217199,0.0
3,13,36.215355443145015,0.16460206893352686,0.8707974560120816,0.0
3,14,39.00364769651197,0.13939550703423487,0.884389354358999,0.0
3,15,41.88694291168428,0.1349431676379684,0.8955694596798058,0.0
3,16,44.85727121328303,0.13839927170337496,0.9048899657955243,0.0
3,17,47.84583804328303,0.1368383502857136,0.9127566394317884,0.0
3,18,50.88996993191778,0.13495158189122355,0.9194709997591323,0.0
3,19,53.95625885188662,0.1321879306219133,0.9252599884521108,0.0
3,20,57.06745283717442,0.12288083685822797,0.930296691475612,0.0
4,1,46.92493636301554,1.7762143749072015,0.0833302877289597,0.0
4,2,30.945934132018426,0.8627754966419983,0.16658237356734304,0.0
4,3,25.35109806209224,0.6616547985311115,0.24943901023264317,0.0
4,4,22.612768876499164,0.39248304145445273,0.3312380546991678,0.0
4,5,21.223419887436314,0.3078261879025865,0.41094931100410553,0.0
4,6,20.459904916194446,0.28795431256609655,0.48720658090630037,0.0
4,7,20.167228713117456,0.25636889776197114,0.5584177220438389,0.0
4,8,20.331490105496414,0.22421144269113777,0.6229924406537213,0.0
4,9,20.787430306857697,0.2236581634549359,0.6796808075771457,0.0
4,10,21.615398589382004,0.21164858882670323,0.7279009459027297,0.0
4,11,22.79446335532176,0.18838154559553277,0.7678641683588978,0.0
4,12,24.168905993407822,0.15738225166981265,0.8004177119029195,0.0
4,13,25.76412699678935,0.1646020689335269,0.8267282563111544,0.0
4,14,27.510428250797645,0.13939550703423537,0.8479938056744394,0.0
4,15,29.39529498009855,0.1349431676379691,0.8652764404314883,0.0
4,16,31.40148688961828,0.1383992717033753,0.8794447892624098,0.0
4,17,33.45245976112565,0.1368383502857137,0.8911792997896743,0.0
4,18,35.5794447992836,0.13495158189122314,0.9010021348731331,0.0
4,19,37.74437355518939,0.1321879306219133,0.9093111583042631,0.0
4,20,39.966470628841336,0.12288083685822797,0.9164097932430129,0.0
6,1,46.92384245654303,1.7762143749072015,0.05555555083259665,0.0
6,2,30.93088574493727,0.8627754966419978,0.11111062204497964,0.0
6,3,25.284853860614014,0.6616547985311114,0.16665985599485642,0.0
6,4,22.428662002860726,0.3924830414544527,0.22218029640476497,0.0
6,5,20.823945605972675,0.3078261879025865,0.2776121134444985,0.0
6,6,19.71685488696281,0.28795431256609655,0.33283727884885167,0.0
6,7,18.923827354664823,0.2563688977619711,0.3876594193967093,0.0
6,8,18.408844632698276,0.22421144269113777,0.4417867614424864,0.0
6,9,17.9976971988059,0.2236581634549359,0.49482020366436413,0.0
6,10,17.78110737080375,0.2116485888267033,0.5462503401135111,0.0
6,11,17.768829074848604,0.18838154559553277,0.5954702603642964,0.0
6,12,17.85018150267861,0.15738225166981262,0.6418133953405185,0.0
6,13,18.100105733669885,0.16460206893352677,0.684623476544628,0.0
6,14,18.49377940805958,0.13939550703423537,0.7233518770710411,0.0
6,15,19.052996106411925,0.13494316763796887,0.7576572195586482,0.0
