c,capacity,M_star,aoi_at_mstar
1,0.1,2,40.93075369660975
2,0.2,4,27.31588666768676
3,0.30000000000000004,5,22.64330311041336
4,0.4,7,20.167228713117456
6,0.6000000000000001,11,17.768829074848604
8,0.8,15,16.560711906145922
12,1.2000000000000002,20,15.489720919648066
