c,M,aoi_mean_s,aoi_std_s,rho,unstable_frac
1,1,3410.3329239946033,140.1610765906796,0.14288451389126014,0.0
1,2,2625.3178306123104,108.34533848789746,0.4232123819644032,0.0
1,3,2645.1712512365257,104.56405955185413,0.6137555867274043,0.0
1,4,2696.919066022611,103.27139896706635,0.690426673475732,0.0
1,5,2982.432180640709,93.74191236870213,0.7491008153101351,0.0
1,6,3261.5855543635894,81.63217416757533,0.7900183300325583,0.0
1,7,3641.4025404801287,95.68505585219297,0.822036988974278,0.0
1,8,4023.671699050216,98.77545959441834,0.846236317631171,0.0
1,9,4430.364018554538,81.49912217163033,0.8654014976531952,0.0
1,10,4848.853731608755,80.84732631619534,0.8803227448750129,0.0
1,11,5282.797044527557,81.49781366453215,0.8924424720221171,0.0
1,12,5727.658803777855,82.85433210798779,0.9025324574740738,0.0
1,13,6193.216099845721,81.55650044927155,0.9110488091179333,0.0
1,14,6641.408450828545,83.31019093041907,0.9181281605338584,0.0
1,15,7102.755354740263,90.01554869268512,0.9241865984232908,0.0
1,16,7535.444665693265,81.59595923540942,0.9293937337847475,0.0
1,17,7998.069838028636,73.43147602111029,0.9340100383920263,0.0
1,18,8477.754484516165,86.54023603103305,0.9380971089888898,0.0
1,19,8942.486065376077,85.56057331660288,0.9416559771761323,0.0
1,20,9411.617903514978,87.27366340356663,0.944840971899542,0.0
2,1,3332.8717209009887,144.0068025272401,0.07314010780940482,0.0
2,2,2303.9894253716493,116.27621786929073,0.2466679082872308,0.0
2,3,1988.089938507037,112.30211900913528,0.4276685863419948,0.0
2,4,1795.3766501367943,72.61900408272948,0.5119503504204651,0.0
2,5,1807.6580525498862,77.20517924857313,0.5917815299777341,0.0
2,6,1815.9015915507257,79.66764259557668,0.6547796459785222,0.0
2,7,1916.042717488958,91.7615700414895,0.7113406134995729,0.0
2,8,2024.2737574087464,92.82058475011132,0.7564431390756903,0.0
2,9,2160.585551833422,78.01518164813474,0.7935190946089113,0.0
