c,capacity,M_star,aoi_at_mstar_s
1,0.0020833333333333333,4,2099.2223263158817
2,0.004166666666666667,6,1577.2253150315257
3,0.00625,9,1411.712809405023
4,0.008333333333333333,12,1325.168996909109
6,0.0125,17,1219.0879054896493
8,0.016666666666666666,20,1192.518526629489
12,0.025,20,1189.4034259143789
