sweep,value,proposed_min,single_min,gain_pct
r_c,100.0,40.310476548437045,45.51208005111075,11.4290612444701
r_c,200.0,39.453160231715195,44.48718665454247,11.315677167716029
r_c,300.0,38.65872143475363,43.552908115622195,11.237336133503897
r_c,400.0,37.81937886715976,42.692947290194105,11.415394655017701
tau_charge_min,5.0,35.61422171368573,41.157863934335225,13.46921752181801
tau_charge_min,8.0,39.453160231715195,44.48718665454247,11.315677167716029
tau_charge_min,11.428571428571427,44.82752515439688,48.99588104664544,8.507563907831692
distribution:uniform,0.0,39.453160231715195,44.48718665454247,11.315677167716029
distribution:clustered,1.0,27.293830804824104,33.6935382480058,18.993871750944624
