L_m,proposed_min,single_min,coverage_min,gain_pct
5000,19.519093044659872,20.351556464006954,23.069406954395806,4.090416479050866
8000,25.944954884699776,28.092226029615887,31.251361781974538,7.643648967697955
11000,32.35083477892287,35.82674250316054,39.40220034023829,9.701992091329645
14000,38.89860635090814,43.629469939980105,47.66027562462942,10.843275418152198
17000,45.43330516453936,51.411594159609805,55.78652670401367,11.628289479821522
20000,51.99717895463034,59.22918843536005,64.03269607463929,12.210212011637443
